"clientmanufacture","clientmodel"
"ZUUM","STELLAR P5"
"samsung","SM-S926U1"
"HONOR","STK-LX3"
"CHUWI","Hi10 XPro"
"motorola","moto e20"
"HONOR","BRP-NX1"
"Google","Pixel 4"
"Samsung","SM-A035M"
"Alcatel","4065F"
"motorola","moto g(9) power"
"samsung","SM-S938N"
"OUKITEL","WP22"
"realme","RMX3939"
"ZUUM","AURA M1"
"HONOR","ALI-NX1"
"HUAWEI","ICL-LX9"
"Nothing","A142"
"ZTE","ZTE A2121L"
"motorola","moto g22"
"Infinix","Infinix X669"
"Ulefone","Armor 24"
"IIIF150","Air1 Ultra+"
"Huawei","STK-LX3"
"motorola","motorola edge 30 neo"
"OnePlus","IN2025"
"samsung","SM-G973W"
"OUKITEL","WP36"
"motorola","motorola edge 50"
"OnePlus","KB2003"
"motorola","motorola edge 60 fusion"
"nubia","Z2352N"
"OnePlus","CPH2493"
"samsung","SM-J727U"
"UMIDIGI","A9 Pro"
"realme","RMX3371"
"motorola","Moto G (5S) Plus"
"Alcatel","5007A"
"OPPO","CPH2629"
"Redmi","22101316I"
"HONOR","DUA-LX3"
"ZUUM","STELLAR M1"
"DOOGEE","S96Pro"
"motorola","moto g 5G - 2023"
"Xiaomi","23078PND5G"
"TCL","8193A"
"realme","RMX3301"
"samsung","SM-G970U"
"HONOR","RMO-NX1"
"realme","RMX2151"
"samsung","SM-A5360"
"onn","M17QF21W"
"HUAWEI","CTR-L81"
"S23 Ultra","pop"
"HUAWEI","EVE-LX3"
"HUAWEI","HBN-LX9"
"SOHO_STYLE","SS5724G"
"samsung","SM-S938W"
"HONOR","WOD-LX3"
"Tech_Pad","Tech Pad X10"
"CUBOT","NOTE 21"
"motorola","moto g51 5G"
"samsung","SM-N975W"
"Blackview","BL8800Pro"
"SkyDevices","Elite P55Max"
"motorola","moto e30"
"naomicase","Nilo"
"DOOGEE","N55 Pro"
"Motorola","moto g04"
"samsung","SM-G981U"
"Xiaomi","Mi Note 10 Lite"
"Compaq","QTab10_LTE"
"Redmi","23028RA60L"
"Cloud_Mobile","Stratus C8"
"motorola","moto g13"
"Hisense","Hisense Infinity H50 ZOOM"
"HUAWEI","MAR-LX3Bm"
"samsung","SM-G986U"
"samsung","SM-G780G"
"Hisense","Hisense E50"
"samsung","SM-A505W"
"samsung","SM-N980F"
"Redmi","23078RKD5C"
"samsung","SM-A725M"
"BLU","Vivo XI+"
"Lanix","Alpha 5V"
"samsung","SM-G988N"
"samsung","SM-A135U"
"samsung","SM-A057F"
"OUKITEL","WP50"
"OnePlus","ONEPLUS A6013"
"motorola","moto g(9) play"
"Redmi","M2012K10C"
"samsung","SM-S918U"
"ZTE","ZTE Blade L220"
"WIKO","WIKO T10"
"samsung","SM-S9280"
"OUKITEL","WP28 S"
"OnePlus","NE2217"
"Xiaomi","MI 8 Lite"
"VOVE","GT 20 Pro"
"HUAWEI","CTR-L91"
"Google Inc.","MP05"
"samsung","SM-A736B"
"samsung","SM-A136M"
"samsung","SM-A336B"
"HUAWEI","MAR-LX3Am"
"samsung","SM-G973F"
"DOOGEE","Blade GT"
"motorola","moto e5"
"Redmi","24040RN64Y"
"samsung","SM-A135F"
"CUBOT","KINGKONG STAR"
"Xiaomi","Mi 10 Pro"
"samsung","SM-A057M"
"samsung","SM-A025M"
"motorola","motorola edge 50 pro"
"Vortex","A24"
"samsung","SM-N975U"
"samsung","SM-G990U2"
"ZUUM","STELLAR P8"
"Acer","AC50"
"motorola","moto g(7) play"
"realme","RMX5056"
"samsung","SM-A556E"
"ZTE","ZTE 8046"
"ZTE","ZTE Blade A7 2019"
"POCO","M2103K19PG"
"OUKITEL","WP32"
"HOTWAV","Note 15"
"Sony","G3123"
"Ulefone","Armor 21"
"lge","LM-K200"
"HUAWEI","FLA-LX3"
"samsung","SM-G977U"
"samsung","SM-G986W"
"OnePlus","CPH2415"
"Redmi","M2010J19SL"
"POCO","POCO F2 Pro"
"OUKITEL","WP28 E"
"samsung","SM-N950U1"
"Redmi","2311FRAFDC"
"Redmi","220333QL"
"samsung","SM-A605GN"
"samsung","SM-G998U1"
"Xiaomi","2203129G"
"vivo","V2203A"
"T-Mobile","5007W"
"motorola","moto g(8) play"
"Motorola","one"
"asus","ASUS_I005DA"
"Nokia","Nokia 2"
"HONOR","CLK-NX3"
"Redmi","2312DRA50G"
"W&O","X25 Ultra"
"lge","LM-V600"
"samsung","SM-A546E"
"POCO","23113RKC6G"
"motorola","motorola razr plus 2023"
"lge","LM-K410"
"Philips","S6206"
"ZTE","ZTE Blade A31 Plus"
"samsung","SM-G981U1"
"HONOR","WDY-LX3"
"realme","RMX3511"
"HONOR","NTN-LX3"
"nubia","NX729J"
"realme","RMX3363"
"samsung","SM-S111DL"
"samsung","SM-F956U1"
"OPPO","CPH2067"
"samsung","SM-G930F"
"samsung","SM-G973U"
"Redmi","M2007J22G"
"samsung","SM-M325FV"
"VORTEX","VORTEX CM62"
"FOSSiBOT","S3 Pro"
"asus","ASUS_AI2401_D"
"realme","RMX3311"
"Redmi","24090RA29I"
"OPPO","CPH2015"
"samsung","SM-G986N"
"OPPO","oppo6779"
"Honor","WDY-L13"
"samsung","SM-J610F"
"Amazon","KFMAWI"
"Infinix","Infinix X6525"
"samsung","SM-A156U1"
"HUAWEI","CLT-L04"
"Motorola","moto g72"
"samsung","SM-A716V"
"HUAWEI","STG-LX2"
"realme","RMX3938"
"lge","LM-K520"
"SOHO_STYLE","S1586K"
"Xiaomi","21081111RG"
"Redmi","23013RK75C"
"Nokia","Nokia X30 5G"
"samsung","SM-S938B"
"Redmi","22101320G"
"TCL","T766J"
"samsung","SM-S938U1"
"OUKITEL","C57 Pro"
"realme","RMX2121"
"Samsung","SM-A245M"
"Xiaomi","23129RA5FL"
"LOGIC","LOGIC L66 PRO"
"HONOR","RBN-NX1"
"Infinix","Infinix X678B"
"realme","RMX2144"
"samsung","SM-S936U"
"OnePlus","HD1925"
"samsung","SM-M135M"
"Redmi","2201117SI"
"TECNO","TECNO KJ6"
"ZTE","ZTE Blade A34"
"motorola","moto z4"
"POCO","M2012K11AG"
"motorola","motorola edge 20 lite"
"OnePlus","CPH2465"
"samsung","SM-A536E"
"Infinix","Infinix X6962"
"OPPO","CPH2525"
"Xiaomi","2210129SG"
"ZTE","ZTE Blade A3 2020"
"samsung","SM-A750G"
"Maxwest","MX-A65"
"Samsung","SM-A556E"
"vivo","vivo 1933"
"samsung","SM-F946W"
"HUAWEI","DCO-LX9"
"motorola","moto e13"
"Redmi","2312DRAABC"
"Redmi","220333QAG"
"HUAWEI","BLA-L29"
"samsung","SM-S916B"
"samsung","SM-G990U1"
"ZTE","ZTE 8050"
"OSCAL","Pad 18"
"Lanix","Alpha 3V"
"Blackview","BV8800"
"CUBOT","NOTE 50"
"Lenovo","TB328XU"
"motorola","motorola edge 2024"
"xiaomi","Redmi Note 8"
"ZTE","ZTE Blade A53"
"lge","LM-V500"
"ZUUM","AURA PRO JLO"
"Huawei","ANG-L02"
"Unihertz","TANK 01"
"motorola","moto g 5G - 2024"
"samsung","SM-S901U1"
"Hisense","Hisense H60 Smart"
"HONOR","ALI-NX3"
"motorola","moto g power (2022)"
"realme","RMX2111"
"POCO","2201117PG"
"HUAWEI","AGS6-W09"
"samsung","SM-J400M"
"ZUUM","AURA Z1"
"Xiaomi","M2007J3SG"
"Redmi","23129RN51X"
"motorola","motorola one zoom"
"samsung","SM-A032M"
"Infinix","Infinix X6831"
"Nokia","Nokia 5.4"
"realme","RMX3630"
"Google Inc.","V2352"
"XGODY","K800Y"
"samsung","SM-G996U1"
"Xiaomi","M2011K2C"
"ZTE","BLADE V Ultra"
"realme","RMX3686"
"DOOGEE","V Max Plus"
"motorola","motorola one 5G ace"
"TCL","T612B"
"ZTE","Z2350"
"ZTE","Z982"
"HUAWEI","VOG-L04"
"Lenovo","Lenovo TB-7104I"
"vivo","V2341"
"realme","RMX3941"
"samsung","SM-F7110"
"OnePlus","HD1907"
"motorola","moto g stylus"
"ACER","A60L"
"samsung","SM-F936B"
"realme","RMX3834"
"samsung","SM-A730F"
"Realme","RMX3760"
"TWL","F1X"
"samsung","SM-A515F"
"Lanix","Ilium M7T"
"FOSSiBOT","F101 Pro"
"motorola","motorola razr 2022"
"OUKITEL","WP35 S"
"HUAWEI","PPA-LX2"
"motorola","motorola edge"
"lge","LM-X525"
"samsung","SM-A127M"
"ZTE","Z2450"
"motorola","Moto E (4)"
"motorola","Moto G (5) Plus"
"Redmi","24040RA98R"
"samsung","SM-A235F"
"Samsung","SM-A025M"
"samsung","SM-A245M"
"OPPO","CPH2579"
"POCO","2207117BPG"
"samsung","SM-M515F"
"vivo","V2333"
"motorola","moto e40"
"Welcome","Y36"
"vivo","V2310"
"samsung","SM-A536U1"
"ZTE","ZTE Axon 10 Pro"
"motorola","motorola razr 5G"
"HUAWEI","DBY-W09"
"Hisense","Hisense H50 Lite"
"realme","RMX2001"
"samsung","SM-S931B"
"samsung","SM-G9750"
"realme","RMX3842"
"ZTE","ZTE A2023G"
"OPPO","CPH2599"
"samsung","SM-A035M"
"Google Inc.",""
"BLU","G61S"
"samsung","SM-J737T"
"samsung","SM-A217M"
"OPPO","CPH2519"
"samsung","SM-A025F"
"Welcome","i16 Pro"
"OPPO","CPH2565"
"Huawei","MGA-LX3"
"POCO","2312FPCA6G"
"Lenovo","TB310FU"
"realme","RMX3661"
"Redmi","M2006C3MII"
"Hisense","Hisense E50 128G"
"google","Pixel 9"
"Redmi","23117RA68G"
"Redmi","22127RK46C"
"Huawei","WKG-LX9"
"motorola","motorola edge 20"
"samsung","SM-G970U1"
"TCL","6125F"
"ZTE","ZTE A7050"
"ZTE","Nubia 4010"
"Hisense","Hisense U50"
"OnePlus","DN2103"
"OnePlus","GM1917"
"samsung","SM-T510"
"samsung","SM-G998W"
"motorola","moto g 5G (2022)"
"motorola","moto g04"
"Cricket","U6080AC"
"Redmi","23117RK66C"
"samsung","SM-G7810"
"samsung","SM-A207M"
"samsung","SM-N9600"
"samsung","SM-A525M"
"samsung","SM-G998N"
"Hisense","HLTE230E"
"OnePlus","CPH2389"
"samsung","SM-G781U1"
"POCO","M2007J20CG"
"google","Pixel 9a"
"Xiaomi","Redmi K20 Pro"
"BLU","B1550VL"
"OPPO","CPH2659"
"HONOR","DNN-LX9"
"Honor","WDY-L03"
"samsung","SM-S901W"
"samsung","SM-A156U"
"OPPO","CPH2123"
"vivo","V2027"
"Redmi","24049RN28L"
"lge","LG-H870"
"Nokia","Nokia X100"
"samsung","SM-M022M"
"TECNO","TECNO LI7"
"Motorola","moto g32"
"samsung","SM-G955U"
"ZTE",2050
"google","Pixel 3"
"CUBOT","KINGKONG 7"
"SENWA","S40"
"motorola","Motorola Defy"
"samsung","SM-A065F"
"realme","RMX3933"
"realme","RMX3263"
"CHUWI","HiPad XPro"
"Honor","BRP-N23"
"Xiaomi","23127PN0CC"
"samsung","SM-F926B"
"samsung","SM-G965N"
"Redmi","2212ARNC4L"
"Redmi","2201116SC"
"HUAWEI","POT-LX1"
"LG","Nexus 5"
"samsung","SM-A226B"
"samsung","SM-G975U"
"Redmi","2201116TI"
"HUAWEI","WAS-LX3"
"lge","LM-G900TM"
"Blackview","BV9300 Pro"
"POCO","21061110AG"
"motorola","motorola edge 40 pro"
"TCL","T799B"
"nubia","Z2465N"
"samsung","SM-A236U1"
"samsung","SM-S135DL"
"realme","RMX3890"
"motorola","moto g53 5G"
"motorola","moto e14"
"samsung","SM-F721U1"
"COMPAQ","Q5"
"Motorola","moto g71 5G"
"HONOR","NTN-LX1"
"Alcatel","6002A"
"motorola","motorola razr 40"
"Xiaomi","2106118C"
"Infinix","Infinix X6528"
"Redmi","M2010J19SG"
"google","Pixel 4a (5G)"
"Hyundai","Hyundai_Eternity_G50"
"samsung","SM-A920F"
"Redmi","220233L2G"
"Hisense","Hisense V50"
"Unihertz","Ticktock"
"Vortex","CG65"
"vivo","V2050"
"nubia","Z2353"
"Redmi","23026RN54G"
"Redmi","21091116C"
"OPPO","PJH110"
"samsung","SM-F946U"
"samsung","SM-G935F"
"Lenovo","Lenovo TB-8505FS"
"realme","RMX3370"
"OPPO","CPH2531"
"Verizon","SM-G920V"
"motorola","moto g42"
"Vortex","T10M_Pro"
"CUBOT","KINGKONG ACE 3"
"ZUUM","AURA_Z"
"Redmi","Redmi Note 10 Lite"
"Xiaomi","2306EPN60G"
"DOOGEE","Fire 6 Power"
"WIKO","W-V770"
"OnePlus","LE2123"
"ZTE","ZTE Blade A51"
"motorola","moto g power (2021)"
"Ulefone","Note 17 Pro"
"samsung","SM-A336E"
"lge","LM-X420"
"samsung","SM-A307FN"
"samsung","SM-S721B"
"TECNO","TECNO KJ5"
"Cat","S62"
"Nokia","Nokia G310 5G"
"Ulefone","Armor X8"
"OnePlus","KB2005"
"lge","LM-G910"
"IIIF150","B2 Pro"
"Honor","RKY-L33"
"ZTE","ZTE Blade A52"
"POCO","2404APC5FG"
"Sony","G8141"
"HUAWEI","JNY-LX2"
"samsung","SM-A528B"
"TCL","T671E"
"CUBOT","KINGKONG_ES"
"samsung","SM-M115F"
"Redmi","22041219NY"
"samsung","SM-F946B"
"motorola","moto g82 5G"
"OnePlus","NE2215"
"samsung","SM-S936B"
"motorola","moto g power - 2025"
"Redmi","24044RN32L"
"Xiaomi","Mi 10"
"samsung","SM-A207F"
"nubia","NX721J"
"BLU","G63"
"Sony","XQ-FS72"
"TCL","5102L"
"Redmi","24090RA29G"
"HUAWEI","AMN-LX3"
"samsung","SM-G991U"
"HONOR","NDL-L03"
"ZTE","ZTE 9045"
"HUAWEI","LYA-AL00"
"Biegedy","B29_US"
"motorola","moto g play (2021)"
"samsung","SM-S146VL"
"vivo","V2206"
"Honor","LLY-L31"
"motorola","motorola edge 30 pro"
"ZTE","ZTE Blade A5 2020"
"samsung","SM-G990E"
"google","Pixel 4"
"realme","RMX3830"
"Welcome","X17"
"DOOGEE","S100Pro"
"Asus","ASUS_I005DA"
"motorola","moto g stylus 5G (2022)"
"Cat","S42"
"Huawei","CLK-L33"
"samsung","SM-N960U"
"motorola","moto g stylus (2023)"
"BLU","G50 Plus"
"realme","RMX3081"
"samsung","SM-F956B"
"xiaomi","Mi A1"
"Xiaomi","2201123G"
"motorola","motorola razr 40 ultra"
"samsung","SM-A536U"
"HUAWEI","MIS-LX9"
"Nokia","Nokia 4.2"
"Infinix","Infinix X6516"
"lge","LM-Q630"
"WIKO","WIKO T50"
"vivo","V2247"
"Motorola","moto g62 5G"
"Infinix","Infinix X6871"
"samsung","SM-G996B"
"Redmi","23077RABDC"
"YUHO","YUHO_Y1_StarS"
"HONOR","CRT-LX2"
"HONOR","CRT-LX3"
"POCO","24117RK2CG"
"Samsung","SM-S711B"
"Motorola","moto g(20)"
"Redmi","2303ERA42L"
"HUAWEI","ALP-L09"
"Nokia","Nokia 5.3"
"Redmi","23053RN02Y"
"samsung","SM-J337AZ"
"Nokia","Nokia C21 Plus"
"OUKITEL","G1"
"POCO","22021211RG"
"HUAWEI","ADY-LX9"
"samsung","SM-M336B"
"TCL","5048A"
"lge","LM-V405"
"ZUUM","SENS G"
"samsung","SM-G9980"
"Vortex","HD65_Ultra"
"samsung","SM-A047M"
"HOTWAV","Cyber 13 Pro"
"vivo","V2314"
"UMIDIGI","MP05"
"HONOR","GFY-LX3"
"motorola","moto g stylus 5G - 2024"
"ZTE","Z2459"
"Redmi","220733SI"
"POCO","M2007J20CI"
"motorola","moto e(7i) power"
"samsung","SM-A156M"
"nubia","NX724J"
"HONOR","CRT-NX1"
"HONOR","JDY-LX3P"
"samsung","SM-G975W"
"Samsung","SM-A217M"
"CUBOT","KINGKONG X"
"vivo","V2427"
"samsung","SM-S928U"
"Redmi","M2004J19C"
"Schok","Schok Volt SV55"
"motorola","moto g85 5G"
"Samsung","SM-A546E"
"samsung","SM-N970F"
"samsung","SM-F926U1"
"samsung","SM-A037U"
"HUAWEI","CTR-LX3"
"Nokia","Nokia G11 Plus"
"samsung","SM-A145M"
"HUAWEI","VOG-TL00"
"realme","RMX3867"
"ZUUM","AURA PLUS JLO"
"OUKITEL","WP36 Pro"
"samsung","SM-F711U"
"samsung","SM-A045M"
"Redmi","22041219G"
"Acer","AX61"
"CUBOT","KINGKONG 8"
"Nokia","Nokia G21"
"Redmi","24117RN76L"
"samsung","SM-N950F"
"UMIDIGI","RP08"
"HONOR","ELI-NX9"
"Motorola","moto e13"
"motorola","REVVLRY"
"Xiaomi","2109119DG"
"Infinix","Infinix X6853"
"samsung","SM-A137F"
"CUBOT","X50"
"Redmi","21121210C"
"google","Pixel 4 XL"
"samsung","SM-A426U1"
"OPPO","CPH2387"
"ZTE","ZTE Blade A7 2020"
"Kodak","D55L"
"samsung","SM-G950U1"
"motorola","Moto Z3 Play"
"samsung","SM-S901U"
"samsung","SM-F7210"
"Xiaomi","POCOPHONE F1"
"Samsung","SM-A045M"
"samsung","SM-E625F"
"samsung","SM-A136W"
"motorola","moto g stylus 5G"
"realme","RMX3871"
"Infinix","Infinix X6833B"
"SOHO_STYLE","SS5314G"
"Ulefone","Armor 12 5G"
"TAPLET","M15 Pro"
"samsung","SM-F711B"
"CUBOT","NOTE 40"
"OPPO","CPH2671"
"Sony","F5121"
"HUAWEI","NOH-NX9"
"samsung","SM-N976U"
"samsung","SM-S908B"
"samsung","SM-A102U1"
"samsung","SM-S921U"
"HUAWEI","MRD-LX3"
"samsung","SM-G892U"
"realme","RMX3203"
"samsung","SM-G950W"
"Sony","H3123"
"samsung","SM-S9180"
8849,"TANK2"
"OnePlus","CPH2653"
"OPPO","CPH2699"
"samsung","SM-A125U1"
"samsung","SM-G998U"
"realme","RMX3561"
"LANIX","Ilium Alpha 5s"
"HUAWEI","POT-LX3"
"samsung","SM-G960F"
"blackshark","SHARK KSR-H0"
"samsung","SM-S901N"
"ZUUM","SENS CURVE"
"Nothing","A142P"
"TCL","T779W"
"samsung","SM-M536B"
"OUKITEL","C36"
"samsung","SM-A127F"
"google","Pixel 9 Pro"
"samsung","SM-G990U"
"Redmi","M2103K19C"
"samsung","SM-J415G"
"samsung","SM-J810M"
"Google Inc.","K"
"Nokia","Nokia G10"
"lge","LM-K920"
"ZTE","ZTE A7040"
"Nokia","Nokia C2 2nd Edition"
"samsung","SM-A032F"
"RED","H1A1000"
"Google Inc.","BE2011"
"TRUE_SLIM","T1586K"
"Redmi","M2101K6P"
"samsung","SM-M305M"
"Nokia","Nokia 3.4"
"CUBOT","KINGKONG 5"
"OPPO","CPH2305"
"Nokia","Nokia C300"
"nubia","NX725J"
"realme","RMX3261"
"motorola","motorola edge 50 neo"
"Redmi","22011119TI"
"motorola","moto g(50) 5G"
"samsung","SM-T290"
"HONOR","ANY-LX3"
"google","sdk_gphone64_x86_64"
"HUAWEI","JAT-LX1"
"samsung","SM-M146B"
"samsung","SM-A525F"
"motorola","moto e22i"
"Nokia","Nokia C2 Tennen"
"POCO","M2102J20SG"
"lge","LM-Q720"
"samsung","SM-A225M"
"OPPO","CPH2363"
"HONOR","TFY-LX3"
"samsung","SM-N950U"
"RT project","GLAM"
"motorola","motorola edge 50 fusion"
"HONOR","JDY-LX3"
"Samsung","SM-A042M"
"Redmi","2303CRA44A"
"POCO","23049PCD8G"
"HUAWEI","VOG-L29"
"Tech_Pad","X11"
"samsung","SM-G960U"
"Xiaomi","2407FPN8EG"
"Redmi","2404ARN45A"
"realme","RMX2195"
"samsung","SM-A526U"
"nubia","NX669J"
"samsung","SM-A037F"
"ZTE","ZTE Blade V10"
"motorola","Moto G (5)"
"realme","RMX3780"
"samsung","SM-M127F"
"HUAWEI","MAR-LX2"
"POCO","23013PC75G"
"samsung","SM-A235M"
"T-Mobile","REVVL V+ 5G"
"motorola","moto g(30)"
"Redmi","23076RA4BC"
"Redmi","2201117SG"
"motorola","motorola razr 2024"
"Xiaomi","21091116I"
"lge","LM-G710VM"
"samsung","SM-N986U"
"Redmi","23124RN87G"
"POCO","22111317PG"
"xiaomi","Mi A2 Lite"
"motorola","moto e22s"
"ZUUM","MAGNO P4"
"samsung","SM-A125M"
"Redmi","2409BRN2CL"
"alps","A55"
"samsung","SCG10"
"motorola","moto g(20)"
"Redmi","M1908C3JGG"
"Redmi","2201117TL"
"samsung","SM-G770F"
"LANIX","X7"
"TECNO","TECNO KG8"
"POCO","2310FPCA4G"
"xiaomi","Redmi 6"
"DOOGEE","S98"
"motorola","moto g power 5G - 2024"
"asus","ASUS_AI2205_C"
"POCO","2409FPCC4G"
"OnePlus","GM1925"
"Nothing","A059P"
"Sony","G3223"
"motorola","moto g pure"
"samsung","SM-A325F"
"samsung","SM-S918B"
"Acer","A62 ULTRA"
"motorola","moto e5 plus"
"Samsung","SM-A307G"
"Redmi","Redmi Note 9 Pro"
"OPPO","CPH2591"
"Xiaomi","M2002J9G"
"htc","HTC One M9"
"motorola","moto g - 2025"
"motorola","moto g power"
"Google Inc.","5102L"
"Redmi","M2003J15SC"
"Nothing","A059"
"samsung","SM-F741U1"
"HUAWEI","EML-L29"
"OPPO","CPH2331"
"KYOCERA","E7110"
"motorola","motorola edge 60"
"samsung","SM-A5660"
"HONOR","DNY-NX9"
"UMIDIGI","MP18"
"realme","RMX3710"
"motorola","motorola razr 2023"
"samsung","SM-G991B"
"Nokia","Nokia 6.1"
"Infinix","Infinix X6880"
"samsung","SM-A515U"
"Motorola","moto g(50) 5G"
"motorola","moto g31"
"HUAWEI","ANG-LX2"
"samsung","SM-S918U1"
"vivo","V2332"
"HUAWEI","JKM-LX3"
"Redmi","23053RN02A"
"HUAWEI","STK-LX3"
"Cricket","EC211002"
"Huawei","JKM-L03"
"motorola","ThinkPhone by motorola"
"ZUUM","MAGNO C2"
"motorola","moto g(8) power lite"
"Redmi","23053RN02I"
"Motorola","moto g53 5G"
"samsung","SM-A166M"
"realme","RMX3627"
"POCO","22071219CG"
"samsung","SM-A236U"
"TECNO","TECNO CM5"
"Xiaomi","Mi Note 10 Pro"
"Infinix","Infinix X665B"
"google","Pixel Fold"
"BLU","J12"
"motorola","motorola one"
"DOOGEE","N55 Plus"
"Nothing","A065"
"ZUUM","STELLAR P3"
"motorola","moto e15"
"ZTE","ZTE Blade A33s"
"samsung","SM-M115M"
"samsung","SM-S916U"
"Nokia","Nokia G50"
"Alcatel","5030A"
"samsung","SM-S931U1"
"OnePlus","CPH2447"
"Redmi","Redmi Note 9"
"HUAWEI","PRA-LX3"
"motorola","moto g(6) play"
"Xiaomi","Mi Note 10"
"nubia","NX713J"
"Acer","AX64"
"OPPO","CPH2639"
"OnePlus","CPH2583"
"DOOGEE","V30Pro"
"samsung","SM-X218U"
"samsung","SM-G610F"
"Infinix","Infinix X670"
"ZTE","ZTE Blade A31"
"motorola","moto g52"
"Redmi","22101316G"
"samsung","SM-A015T1"
"Bmobile","BL52"
"Xiaomi","M2102K1G"
"CUBOT","KINGKONG ACE 2"
"Hisense","Hisense V40"
"samsung","SM-A022M"
"Xiaomi","22071212AG"
"samsung","SM-G988U"
"vivo","V2058"
"samsung","SM-A5560"
"AGM","AGM_H3"
"motorola","moto g stylus - 2025"
"samsung","SM-S356V"
"HUAWEI","MED-LX9"
"motorola","moto g56 5G"
"OPPO","CPH2625"
"W&O","pixel 9Pro"
"Foxx","A55AM"
"Honor","ALI-N03"
"Welcome","C37 Ultra"
"vivo","V1911A"
"samsung","SM-A3560"
"BLU","C6 2020"
"HONOR","RBN-NX3"
"HONOR","PTP-N49"
"samsung","SM-N981N"
"Sony","F8331"
"CUBOT","KINGKONG_AX"
"motorola","moto g(7) plus"
"samsung","SM-M526B"
"samsung","SM-G610M"
"ZUUM","AKUS Z1"
"HUAWEI","LDN-LX3"
"samsung","SM-N975F"
"HONOR","HRY-LX1T"
"motorola","moto g41"
"BLU","G53"
"Hisense","Hisense V60"
"ZTE","ZTE 8045"
"nubia","Z2351N"
"motorola","motorola razr 50 ultra"
"Infinix","Infinix X6851B"
"QTOUCH","Q624"
"Samsung","SM-A032F"
"HUAWEI","FRL-L23"
"POCO","M2010J19CG"
"vivo","V2057"
"HUAWEI","VCE-L22"
"Blackview","COLOR 8"
"ZTE","Nubia N40"
"HUAWEI","ELS-NX9"
"samsung","SM-A115AZ"
"Motorola","moto g(8) power lite"
"samsung","SM-F711U1"
"ZUUM","Hidra Plus"
"Acer","A60"
"Xiaomi","2210132G"
"realme","RMX3393"
"samsung","SM-A716U"
"Kodak","D60LX"
"samsung","SM-G781B"
"realme","RMX3690"
"motorola","motorola edge 40 neo"
"motorola","motorola edge plus (2022)"
"Redmi","23021RAA2Y"
"Hisense","Hisense E20"
"motorola","moto g fast"
"Motorola","moto g(7) plus"
"samsung","SM-G988U1"
"ZUUM","STELLAR M6"
"Redmi","M2104K10AC"
"Infinix","Infinix X6532"
"OPPO","PEPM00"
"OnePlus","CPH2551"
"samsung","SM-A022G"
