model_code,error_message,failed_time
SM-J415F,所有搜索方法都失败,2025-07-16 23:03:25
Infinix X682C,所有搜索方法都失败,2025-07-16 23:03:57
vivo 1929,所有搜索方法都失败,2025-07-16 23:04:24
Infinix X680,所有搜索方法都失败,2025-07-16 23:04:53
Redmi 8A Pro,所有搜索方法都失败,2025-07-16 23:05:25
RMX3472,所有搜索方法都失败,2025-07-16 23:06:00
CPH2773,所有搜索方法都失败,2025-07-16 23:06:31
SM-S711B,所有搜索方法都失败,2025-07-16 23:07:04
RMX3393,所有搜索方法都失败,2025-07-16 23:07:34
CPH2251,所有搜索方法都失败,2025-07-16 23:08:07
RMX3871,所有搜索方法都失败,2025-07-16 23:08:38
vivo 1910,所有搜索方法都失败,2025-07-16 23:09:11
SM-A066B,所有搜索方法都失败,2025-07-16 23:09:42
2407FPN8EG,所有搜索方法都失败,2025-07-16 23:10:13
RMX3491,所有搜索方法都失败,2025-07-16 23:10:46
Infinix X6850B,所有搜索方法都失败,2025-07-16 23:11:14
23106RN0DA,所有搜索方法都失败,2025-07-16 23:11:45
Infinix X6739,所有搜索方法都失败,2025-07-16 23:12:17
vivo 1724,所有搜索方法都失败,2025-07-16 23:12:44
vivo 1727,所有搜索方法都失败,2025-07-16 23:13:15
SM-F946B,所有搜索方法都失败,2025-07-16 23:13:48
2107113SG,所有搜索方法都失败,2025-07-16 23:14:16
V2202,所有搜索方法都失败,2025-07-16 23:14:48
TECNO LH8n,所有搜索方法都失败,2025-07-16 23:15:20
Infinix X6823C,所有搜索方法都失败,2025-07-16 23:15:55
SM-M156B,所有搜索方法都失败,2025-07-16 23:16:24
2207117BPG,所有搜索方法都失败,2025-07-16 23:16:48
TECNO KJ6,所有搜索方法都失败,2025-07-16 23:17:21
Redmi 7,所有搜索方法都失败,2025-07-16 23:17:50
V2031,所有搜索方法都失败,2025-07-16 23:18:22
itel S666LN,所有搜索方法都失败,2025-07-16 23:18:54
Infinix X6511E,所有搜索方法都失败,2025-07-16 23:19:23
SM-J610F,所有搜索方法都失败,2025-07-16 23:19:53
CPH1821,所有搜索方法都失败,2025-07-16 23:20:28
SM-F721B,所有搜索方法都失败,2025-07-16 23:20:59
Infinix X676C,所有搜索方法都失败,2025-07-16 23:21:31
V2339,所有搜索方法都失败,2025-07-16 23:22:00
Redmi S2,所有搜索方法都失败,2025-07-16 23:22:33
Infinix X662,所有搜索方法都失败,2025-07-16 23:23:02
ASUS_X00TD,所有搜索方法都失败,2025-07-16 23:23:26
CPH2695,所有搜索方法都失败,2025-07-16 23:23:57
Infinix X682B,所有搜索方法都失败,2025-07-16 23:24:29
SM-N985F,所有搜索方法都失败,2025-07-16 23:24:58
vivo 1811,所有搜索方法都失败,2025-07-16 23:25:28
SM-M236B,所有搜索方法都失败,2025-07-16 23:25:58
V2441,所有搜索方法都失败,2025-07-16 23:26:26
SM-F711B,所有搜索方法都失败,2025-07-16 23:26:57
22071212AG,所有搜索方法都失败,2025-07-16 23:27:25
Infinix X670,所有搜索方法都失败,2025-07-16 23:28:02
SM-M215F,所有搜索方法都失败,2025-07-16 23:28:34
RMX3686,所有搜索方法都失败,2025-07-16 23:29:03
SM-F956B,所有搜索方法都失败,2025-07-16 23:29:31
SM-N950F,所有搜索方法都失败,2025-07-16 23:30:02
CPH2071,所有搜索方法都失败,2025-07-16 23:30:29
RMX3506,所有搜索方法都失败,2025-07-16 23:30:55
Mi A1,所有搜索方法都失败,2025-07-16 23:31:21
SM-J730G,所有搜索方法都失败,2025-07-16 23:31:53
RMX3661,所有搜索方法都失败,2025-07-16 23:32:27
TECNO KL5n,所有搜索方法都失败,2025-07-16 23:33:00
